item,itemLabel,position,positionLabel,start,psid
Q110159406,Ashuriyon Muzaffar Qurbonmuhammad,Q20606058,Minister of Justice,2020-01-21,Q110159406-8300BAB9-3B6D-4C65-8597-7E2502514CE9
Q110159626,Ziyozoda Sulaimon Rizoi,Q110159958,Deputy Prime Minister of Tajikistan,2022-01-27,Q110159626-2CF0246A-AE5B-4BC9-A3A4-DC07E5B08B5D
Q110159906,Abdullozoda Jamoliddin Abdullo,Q20606196,Minister of Health,2020-05-05,Q110159906-F65EA8D8-9BD2-4CEA-8C17-2808266B4175
Q110159963,Matloubkhon Sattoriyon,Q110159958,Deputy Prime Minister of Tajikistan,2020-12-10,Q110159963-3161C685-8F61-4DE0-ADA2-F9E00396EBFF
Q110160067,Zavkizoda Zavki Amin,Q20606175,Minister of Economic Development and Trade of Tajikistan,2020-02-03,Q110160067-61005C4B-B0CC-4EA6-A900-C6A45E5D748C
Q110160082,Sherali Kabirov,Q110159098,Minister of Industry and New Technologies of Tajikistan,2020-12-10,Q110160082-302ED1E3-E92E-4DD4-A8BE-F1BCB8066C6B
Q110160952,Daler Jumayev,Q25612366,Minister of Energy and Water Resources of Tajikistan,2020-12-10,Q110160952-7D8FBD7E-F9B2-4953-9E1E-5C76C498662F
Q110160957,Shirin Amonzoda,Q20606157,"Minister of Labour, Migration and Population Employment of Tajikistan",2020-12-10,Q110160957-78612462-A9ED-475B-BA66-9EF7281F0C93
Q110161154,Sadi Kodirzoda,Q110161157,Chairman of the State Committee for Investments and State Property Management,2020-12-04,Q110161154-76742124-5C27-4214-88C7-B3415954F398
Q110161208,Orif Khojazoda,Q110161209,Chairman of the State Committee for Land Management and Geodesy,2020-11-03,Q110161208-AB0BD7CF-C2F4-422F-BAE4-14BA73017B44
Q110161251,Faiziddin Kahhorzoda,Q110159050,Minister of Finance of Tajikistan,2018-01-19,Q110161251-6BBE9C11-E4A0-42D3-BAA5-E2F02612A39C
Q110790121,Karimzoda Sadi Gafor,Q20606076,Minister of Agriculture of Tajikistan,2022-01-27,Q110790121-B4F56296-C730-4316-B1FE-1DC4AADE5C1F
Q15222839,Kokhir Rasulzoda,Q2734978,Prime Minister of Tajikistan,2013-11-23,Q15222839-291c89b4-49c5-7230-fece-2e5951b312a8
Q18198123,Sirodjidin Aslov,Q25593310,Minister of Foreign Affairs of the Republic of Tajikistan,2013-11-29,Q18198123-5B845994-9E10-4A10-B7D9-9A3DF7361BF4
Q20604614,Azim Ibrohim,Q110159110,Minister of Transport of Tajikistan,2020-08-31,Q20604614-C6916B3E-E567-4196-A5A3-24FD868C2CD8
Q20609429,Imomzoda Muhammadyusuf Saydali,Q20606126,Minister of Education and Science of Tajikistan,2020-01-24,Q20609429-01DA52F4-08F1-4C4B-95C0-144151D9BFED
Q20611394,Sherali Mirzo,Q20606212,Minister of Defence of Tajikistan,2013-11-20,Q20611394-96635ADE-C84F-492F-B2B7-E85E9B3B8833
Q25612207,Davlatali Said,Q25612350,First Deputy Prime Minister of Tajikistan,2013-11-19,Q25612207-89554A1F-86A1-4021-8AE2-A113E8FEEE71
Q25612364,Usmonali Usmonov,Q110159958,Deputy Prime Minister of Tajikistan,2020-11-03,Q25612364-27D4DF44-67E2-4F09-BE12-156E77928CED
Q4539588,Saimumin Yatimov,Q20610175,Chairman of the State Committee for National Security,2010-09-02,Q4539588-CBB1635F-E791-4E59-B915-A4D42E74A7FE
Q7289157,Ramazon Rahimov,Q20606091,Minister of Internal Affairs,2012-01-05,Q7289157-0B40B1D6-F987-47FE-A816-A7B2838D7C6A
Q86724010,Davlatzoda Zulfiya Davlat,Q110159030,Minister of Culture of Tajikistan,2020-01-24,Q86724010-88C1A20C-E1F9-42E7-9AE6-ADCBFEA60503
