name,position
Kohir Rasulzoda,Prime Minister
Davlatali Said,First Deputy Prime Minister
Sattoriyon Matlubahon Amonzoda,Deputy Prime Minister
Usmonzoda Usmonali Yunusali,Deputy Prime Minister
Ashuriyon Muzaffar Qurbonmuhammad,Minister of Justice
Ziyozoda Sulaimon Rizoi,Minister of Agriculture
Rahimzoda Ramazon Hamro,Minister of Internal Affairs
Sirojiddin Muhriddin,Minister of Foreign Affairs
Imomzoda Muhammadyusuf Saydali,Minister of Education and Science
Amonzoda Shirin Shodi,"Minister of Labor, Migration and Population Employment"
Kahhorzoda Faiziddin Sattor,Minister of Finance
Sherali Mirzo,Minister of Defense
Azim Ibrohim,Minister of Transport
Zavkizoda Zavki Amin,Minister of Economic Development and Trade
Kabir Sherali,Minister of Industry and New Technologies
Abdullozoda Jamoliddin Abdullo,Minister of Health and Social Protection of the Population
Davlatzoda Zulfiya Davlat,Minister of Culture
Juma Daler Shofakir,Minister of Energy and Water Resources
Yatimov Saimumin Sattorovich,Chairman of the State Committee for National Security
Khojazoda Orif Ashuri,Chairman of the State Committee for Land Management and Geodesy
Kodirzoda Sadi Sanginmurod,Chairman of the State Committee for Investments and State Property Management
